nome_evento,categoria,artigo_wikipedia,tipo_acesso,tipo_agente,data_inicio_extracao,data_fim_extracao
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,desktop,user,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,desktop,spider,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,desktop,automated,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,mobile-app,user,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,mobile-app,spider,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,mobile-app,automated,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,mobile-web,user,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,mobile-web,spider,2023-01-07,2023-04-07
Terremoto Turquia-Siria,desastre_natural,2023_Turkey–Syria_earthquakes,mobile-web,automated,2023-01-07,2023-04-07
